simNo:int,simPar_EleakVal:decimal,simParPer_gBarP:int,simParPer_gBarK2:int,simParPer_gBarLeak:int,simParPer_gBarSynS:int,simParPer_gBarCaS:int,simParPer_gBarSynG:int,simParPer_gBarh:int,meanPeriod_L:decimal,meanPeriod_R:decimal,spkFreq_L:decimal,spkFreq_R:decimal,meanDutyCycle_L:decimal,meanDutyCycle_R:decimal,meanPhase_L:decimal,meanPhase_R:decimal
50192,-0.065,150,150,100,75,50,0,0,33.70025,31.6796,21.60648194,21.37214011,0.4538898,0.4540177,0.5965053,0.4392608
87730,-0.05,25,25,50,50,100,0,0,27.61325,29.4134,15.18635675,14.95334426,0.5074158,0.5778149,0.4072719,0.5661775
90232,-0.065,150,175,25,75,100,0,0,25.4002,27.1485,34.29506,33.43368785,0.5799246,0.477717,0.4268744,0.5437438
91197,-0.065,175,175,100,75,100,0,0,22.71305,29.6345,29.21920548,28.71276624,0.6430356,0.4887142,0.276141,0.6397093
95214,-0.055,50,100,25,125,100,0,0,26.5282,25.22525,15.2383143,15.58005753,0.4692403,0.4941477,0.5525257,0.4746119
100046,-0.07,25,125,0,175,100,0,0,25.918,28.5606,6.250606201,6.499837504,0.6397369,0.3991128,0.4082512,0.5501235
100047,-0.065,25,125,0,175,100,0,0,25.918,28.5606,6.250606201,6.499837504,0.6397369,0.3991128,0.4082512,0.5501235
100048,-0.06,25,125,0,175,100,0,0,25.918,28.5606,6.250606201,6.499837504,0.6397369,0.3991128,0.4082512,0.5501235
100049,-0.055,25,125,0,175,100,0,0,25.918,28.5606,6.250606201,6.499837504,0.6397369,0.3991128,0.4082512,0.5501235
100050,-0.05,25,125,0,175,100,0,0,25.918,28.5606,6.250606201,6.499837504,0.6397369,0.3991128,0.4082512,0.5501235
132024,-0.055,100,100,100,75,150,0,0,27.01485,27.8844,26.29243522,26.26041346,0.5002952,0.5513513,0.4498555,0.5356646
150135,-0.05,50,25,125,50,175,0,0,29.4808,27.8031,27.53909891,29.15851823,0.6283005,0.4955455,0.467768,0.5588519
201271,-0.07,150,175,100,150,25,0,25,24.814,26.5843,12.31686508,12.42793524,0.5371242,0.5372908,0.4104396,0.5602785
233456,-0.07,75,100,25,75,75,0,25,25.70195,27.52015,20.15195034,19.69847817,0.51528,0.5644628,0.4116329,0.5592475
251748,-0.06,125,125,50,50,100,0,25,25.5211,18.83325,32.95128401,32.12389443,0.5735881,0.7546653,0.6180771,0.5438911
251749,-0.055,125,125,50,50,100,0,25,27.7089,26.0496,33.84245753,34.87631205,0.457575,0.4899653,0.5748726,0.4595527
253268,-0.06,125,75,175,50,100,0,25,26.66505,25.1668,15.64733943,16.24864428,0.4705598,0.4938769,0.5588414,0.4725586
253983,-0.06,100,125,25,75,100,0,25,28.1119,29.3498,28.11007313,27.63875402,0.5176278,0.5331484,0.4455805,0.5347984
